"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1023","kapan itu baru ngmngin kl suga sm jk pasti isinya item"" semua, kl rm ya estetik"" gt, kl hobi colorful, kl jimin fas… https://t.co/Yi4wMlKB4z",FALSE,0,"arumelz",2021-12-06 09:49:00,TRUE,"1467793181215318016","1467793186353340424","1425761718433579011","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","arumelz",0,FALSE,FALSE,NA,NA
"1024","<U+0001F37F>Netflix Premium<U+0001F37F>
—ANTI VPN

Sharing
<U+2611><U+FE0F>13k/7hr
<U+2611><U+FE0F>40k/bln
<U+2611><U+FE0F>115k/3bln

Private
<U+2611><U+FE0F>175k/bln 

Dijamin:
<U+2714><U+FE0F>Profil di Pin… https://t.co/wyy6Fa4Xmi",FALSE,0,"Anamshop__",2021-12-06 09:41:06,TRUE,"1467791195363364864","1467791197057912833","1325080102162423808","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anamshop__",0,FALSE,FALSE,NA,NA
"1025","<U+0001F37F>Netflix Premium<U+0001F37F>
—ANTI VPN

Sharing
<U+2611><U+FE0F>13k/7hr
<U+2611><U+FE0F>40k/bln
<U+2611><U+FE0F>115k/3bln

Private
<U+2611><U+FE0F>175k/bln 

Dijamin:
<U+2714><U+FE0F>Profil di Pin… https://t.co/7kl8bUtrj1",FALSE,0,"Anamshop__",2021-12-06 09:41:05,TRUE,"1467791193555681280","1467791195363364864","1325080102162423808","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anamshop__",0,FALSE,FALSE,NA,NA
"1026","SUMPAH BARU SADAR... auto follow <U+0001F62D><U+0001F923> mana foto pertamanya squid game pula wkwk https://t.co/IG4BTiVGer",FALSE,0,NA,2021-12-06 09:40:10,FALSE,NA,"1467790961732292608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","irafm",0,FALSE,FALSE,NA,NA
"1027","@njunlaa eh lucu bgt itu post pertamanya kaya boneka squid game",FALSE,0,"njunlaa",2021-12-06 09:36:19,FALSE,"1467787441046122497","1467789994135670785","1381146391737556993","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","markaiuniverse",0,FALSE,FALSE,NA,NA
"1028","@grexy Ini Squid Game nggak sih?",FALSE,0,"grexy",2021-12-06 09:25:46,FALSE,"1467784815445303296","1467787337669091328","2493281863","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","goIdener",0,FALSE,FALSE,NA,NA
"1029","@ashrywg iya squid game baru muncul thn 2021",FALSE,1,"ashrywg",2021-12-06 09:21:44,FALSE,"1467786064496500737","1467786322563649536","1352089389812371457","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cicialfahri",0,FALSE,FALSE,NA,NA
"1030","@cicialfahri Squid squid terdepan,squid game mksdnya<U+0001F92D>",FALSE,0,"cicialfahri",2021-12-06 09:20:42,FALSE,"1467785399112134657","1467786064496500737","1390677280830095367","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ashrywg",0,FALSE,FALSE,NA,NA
"1031","@busifess 38,000/bulan

NETFLIX <U+0001F3A5>

 —HARIAN 
1 HARI : 4K
3 HARI : 8K
7 HARI : 13K
—SHARING 
1 BULAN : 38k
—PRIVATE… https://t.co/ebOYA8trtB",FALSE,0,"busifess",2021-12-06 09:15:48,TRUE,"1467784661413761027","1467784831304011776","1335180684759994370","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stairysz",0,FALSE,FALSE,NA,NA
"1032","Nonton Squid Game...cek episode

Lah itu udah keliatan yang menang siapa....spoiler anje https://t.co/FVpnxhZZqH",FALSE,0,NA,2021-12-06 09:11:47,FALSE,NA,"1467783820652912644",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","walkingmarsmelo",0,FALSE,FALSE,NA,NA
